Template,mname,Subject,date,Inactive Users,1st Time Openers,First Open %,1st Time Clickers,First Click %
Day 0 - GPTT Internal (#1 EMAIL) ????,MajorSweeps FROG,please confirm your email,10/26/2022,48875,29,0.059299853,21,0.042948298
Internal_SIG_DayNew [Official Email #1 ] {Day0} ????,MAJORSWEEPS MIKD  DRL,{{first_name}} please confirm your email,10/26/2022,367,29,7.323232323,32,8.020050125
1026_22_internal_sig_7am email exists temp 2,GetPaidToTry TRG SDR,???? {{first_name}} verify your email today,10/26/2022,27147,28,0.103035879,35,0.128761681
DAY 0- Click2Win -WhatIf (Email#2),MajorM2 FROG,verify your email,10/26/2022,26106,27,0.103317644,35,0.133889293
1026 -  Scratch Card v10  -  [Email Exist],Giftcardgrabber DRAGON,"{{ ""now"" | date: ""%m-%d"" }} we sent you a message",10/26/2022,19116,26,0.135826977,26,0.135826977
102622-???? (Zeeto) OkWow $10k Jackpot - CPA (U)-3am-ee-???? {{first_name}} you received a JACKPOT offer notification,GiftCardGrabber GFR,"???? {{first_name}} you received a JACKPOT offer notification, Confirm ASAP!",10/26/2022,4468,25,0.556421099,26,0.578549177
GPTT Internal v21 [SIGND0],SigN DRAGON,???? {{first_name}} we sent you a message notification,10/26/2022,7454,25,0.334269287,25,0.334269287
102622 - (Skenzo) Bank Accounts 0920 [SZBNKT1],MSDZ1 WIFI,Your Banking Options Are Pending Review,10/26/2022,18246,22,0.120429166,23,0.125896327
DAY 0- CoffeeSamples - Zeeto (Email#3),Sig. Surveys (GF Marketing) FROG,DELIVERED: we tried to reach you,10/26/2022,25735,21,0.0815344,14,0.054371044
Sig Internal(PLAINCREATIVE)-NEW WorkFlow ????,Sig. Surveys (GF Marketing) FROG,[1] your account needs confirmation,10/26/2022,2062,20,0.960614793,18,0.865384615
day 0 2 hour follow up coca-cola XWb-atoxzqcct1 ????????,GetPaidToTry TRG SDR,{{first_name}} we're trying to reach you regarding your product testing offer,10/26/2022,5035,19,0.37593985,13,0.257527734
Day 0 - GPTT Internal (#1 EMAIL),GPTT (GF Marketing) FROG,please confirm your email,10/26/2022,5893,19,0.321380244,15,0.253893026
102622 - (INT) GCG CashApp Template 1 [CAOT1] 7:00 am EE ?,gcgSGRB WIFI,"{{ ""now"" | date: ""%m-%d"" }} your cash app reward email is pending {{first_name}}.....",10/26/2022,8586,19,0.220801859,25,0.290326327
"102622-???? GiftCardGrabber-PayPal - CPC-12am-ee-{{first_name}} we sent you a PAYPAL DEPOSIT offer today, Confirm ",GiftCardGrabber GFR,"{{first_name}} we sent you a PAYPAL DEPOSIT offer today, Confirm ASAP!",10/26/2022,4711,19,0.401691332,18,0.380630154
Sami Day 0,GPTTZ1 PNT,"{{ ""now"" | date: ""%m-%d"" }} Confirm email and accept a $5.00 credit...",10/26/2022,7621,19,0.248691099,32,0.418136678
102622 - (AMICI) CVS Sweeps (WICSHT2) 7:00 am DEF ?,MyShopDiscounts WIFI,"{{first_name}}, you still need to verify your email for your CVS sweeps offer >> {{ ""now"" | date: ""%",10/26/2022,45408,18,0.039624884,15,0.033022918
Day 0 (Getitfree) Lysol Offer Template 1 (LSOT1)  EFLink,GiftCardGrabber UFC,Please review your offer letter..,10/26/2022,580,18,3.010033445,16,2.684563758
1026_22_internal_gptt_12am ?????,SigCo SDR,{{first_name}} you have a message in your inbox,10/26/2022,25082,16,0.0637501,19,0.075694195
Internal_GPTT_Day0 ????,GiftCardGrabber A DRL,Please confirm your email,10/26/2022,825,16,1.902497027,10,1.19760479
Clickwork7_CashAppVsPaypal_CB12DNO ????,GiftCardGrabber A DRL,Cash App deposit or PayPal GC - You get to choose,10/26/2022,1163,16,1.357082273,14,1.189464741
Internal_GPTT_Retargeting ????,GiftCardGrabber A DRL,{{first_name}} we sent you a message alert,10/26/2022,5781,16,0.27600483,14,0.241587575
REFRESH - No Click After 1 Day (Whatif) Unemployments Benefits Guide Template 1 [UBGT1] ???? EFLink,MyShopDiscounts WIFI,"{{first_name}}, you still have not confirm your email information..",10/26/2022,12225,15,0.12254902,17,0.138866198
102622-???? (WhatIf) The American Survey CashApp - CPA (U)-2am-ee-We sent you a Cash App offer alert ?,Major (Dave) GFR,We sent you a Cash App offer alert,10/26/2022,35426,14,0.039503386,15,0.042323862
Day0 (INT) Gift Card Grabber [GCGT1] EFLink,MSDZ1 WIFI,We just sent you a cash app deposit sweeps offer alert.,10/26/2022,5265,14,0.265201743,10,0.18957346
Day 0 - SIG INTERNAL (#1 EMAIL),Sig. Surveys (GF Marketing) FROG,please confirm your email,10/26/2022,11057,14,0.126456508,13,0.117434508
Day 0 Follow Up -  Zinq - Beats [make-ATOX-dz2h],GPTT C DRAGON,This is a message for {{first_name}}: You Can Product Test Beats Headphones at No-Cost,10/26/2022,34592,14,0.040455412,12,0.034678072
Day 0 (INT) MJS GENERIC ATTEMPT,MajorSweeps UFC,please verify your email.,10/26/2022,1408,14,0.984528833,16,1.123595506
102622-???? (INT) GetPaidtoTry (Travis)-12am-ee-Confirm Your $5 Credit ?,Sig (Dave) GFR,Confirm Your $5 Credit,10/26/2022,23321,13,0.055712694,16,0.068560655
Saad Official Day 0 ????,GPTTco SDR,"{{ ""now"" | date: ""%m-%d"" }} Confirm your Cashapp Offer",10/26/2022,5833,13,0.222374273,9,0.15405683
Internal_Sig_Day0 (Email #1) ????????,Sig TRG DRL,{{first_name}} we sent you a message,10/26/2022,2135,12,0.558919422,7,0.326797386
GPTT - Day0 [03/10] ????????,GPTT C DRAGON,Activate your account today {{date}},10/26/2022,3746,12,0.319318787,8,0.21310602
102622-???? (Rx Marketing) Affordable Housing Resource - CPA (U)-6am-ee-{{first_name}} you received Affordable Hou,Major (Dave) GFR,"{{first_name}} you received Affordable Housing info, View ASAP!",10/26/2022,39574,11,0.027788304,8,0.020211207
1026_22_Conceptual-Paypal (smrppcnpt) ????? (-1026-smrppcnpt),SigCo SDR,{{date}} Your PayPal offer has arrived.,10/26/2022,26635,11,0.041281994,13,0.048784149
1026_22_fluent_mobiletransfer_2am ?????,GPTTco SDR,How do you want to get paid online?,10/26/2022,13047,11,0.084239547,11,0.084239547
REFRESH - (INT) SIG Internal ???? EFLink,MyShopDiscounts WIFI,"FWD: {{first_name}}, Confirm your email.",10/26/2022,12255,11,0.089678787,24,0.195455656
Internal_SIG_Day0 ???? ????,GiftCardGrabber 2 DRL,Please confirm your email,10/26/2022,1086,10,0.912408759,7,0.640439158
"102622-???? (Blue Butterfly) Athena - CPA (U)-1am-ee-You received a shocking personal tarot reading, View ASAP! ?",Major (Dave) GFR,"You received a shocking personal tarot reading, View ASAP!",10/26/2022,34367,10,0.029089217,16,0.046534625
Internal_GPTT_OWNC ????,GiftCardGrabber A DRL,Your $5 credit is available for confirmation,10/26/2022,1538,10,0.645994832,21,1.347017319
102622-???? GiftCardGrabber-Cash App - CPC-12am-ee-We sent you a notification ?,Major (Dave) GFR,We sent you a notification,10/26/2022,34282,10,0.02916132,15,0.043735604
1026_22_Internal_SIG_12am (EE) [CR] ?????,SignatureSurveys A DRL,ALERT: Message confirmation request,10/26/2022,4474,9,0.200758421,6,0.133928571
102622-???? GiftCardGrabber-Paypal- CPC-1am-ee-Your account deposit offer info details have posted ?,Sweepsgen2 GFR,Your account deposit offer info details have posted,10/26/2022,49028,9,0.018353488,6,0.012236407
"102622-???? GiftCardGrabber-PayPal-12am-ee-{{first_name}} you received an Account Deposit offer today, Confirm ASA",Sweepsgen (Dave) GFR,"{{first_name}} you received an Account Deposit offer today, Confirm ASAP!",10/26/2022,49373,9,0.018225264,8,0.016200563
1026_22_fluent_mobiletransfer 6am ?????,GetPaidToTry TRG SDR,Earn up to $525: PayPal/Cashapp/Venmo/Zelle,10/26/2022,13801,9,0.065170167,17,0.123027935
102622 - (Zinq) Bath & Body 4:00 am OPN ????????,gcgSGRB WIFI,{{first_name}} verify your email: we are trying to reach you regarding your Bath & Body offer...,10/26/2022,1716,9,0.52173913,8,0.464037123
GetPaidToTry-(Creative#SA)-STRONG-CREATIVE,GPTT (GF Marketing) FROG,Unread:Confirm Your Email,10/26/2022,2162,8,0.368663594,11,0.506212609
102622-???? (WhatIf) USA Assistance Guide - Utility Bill LP - RS (U)-6am-ee-You received UTILITY BILL ASSISTANCE I,Sweepsgen2 GFR,"You received UTILITY BILL ASSISTANCE Info, View ASAP!",10/26/2022,47822,8,0.016725904,7,0.014635472
GPTT Internal - Completed Day 0 rotation and still 0 open  ???? (2GXWb-gpttflup),GetPaidToTry TRG SDR,2nd attempt: Activate your account,10/26/2022,4850,8,0.164676822,8,0.164676822
Day0 ???? ???? EFLINK (Amici) Adidas Sample - October subject line,MyShopDiscounts WIFI,October 2022:  your email confirmation is being requested {{first_name}} >>>,10/26/2022,12211,8,0.065471806,6,0.049111893
1026 -  WhatIf - Free Samples Guide – Tide v3 - ( 430AM ) ?  ?,Signature 2019 DRAGON,"We sent you an Tide PACKAGE offer today, Confirm ASAP!",10/26/2022,5559,8,0.14370397,12,0.215401185
DAY 0 - GPTT Internal v21 - GPTTN2 [PRE PING],GPTTN2 DRAGON,???? {{first_name}} we sent you a message notification,10/26/2022,3343,8,0.238734706,14,0.417039023
Clickwork7 - Cashapp Vs Paypal Day0 [03/16] ???????? (FIX PAYPAL LINK) [atox],Signature 2019 DRAGON,"???? {{first_name}} {{last_name}}, Cash App deposit or PayPal GC - You get to choose",10/26/2022,5322,8,0.150093809,10,0.187546887
Cashapp Automation ???? (IRBT attempt),GPTTco SDR,"{{ ""now"" | date: ""%m-%d"" }} hey confirm your Cashapp Offer",10/26/2022,5812,8,0.137457045,9,0.15461261
SIG Internal v3 [New SL] [FN2] ?  [Have AND AND] ????,GPTTN DRAGON,???? ((waiting inside)) confirm your account,10/26/2022,753,8,1.051248357,13,1.697127937
Sig Internal(PLAINCREATIVE)-NEW WorkFlow ???? (supsup-ATOX),MajorSweeps FROG,[1] your account needs confirmation,10/26/2022,18969,7,0.036888702,8,0.042156294
102622-???? (Skenzo 2) Balance Transfer CC 0121 - RS (U)-2am-ee-{{first_name}} we sent you Balance Transfer Credit,GiftCardGrabber GFR,"{{first_name}} we sent you Balance Transfer Credit Card options, View ASAP!",10/26/2022,4453,7,0.156950673,9,0.201703272
1026-22-MJS-ScratchCard-Creative#4-E,SweepsMonthly SDR,activate your email,10/26/2022,16917,7,0.04136138,12,0.070884281
1026_22_intrenal_gptt 12am ?????,GiftCardGrabber SDR,???? Activate your account {{first_name}},10/26/2022,7133,7,0.098039216,6,0.084045385
1026_22_fluent_bitcoin_2am ?????,GiftCardGrabber SDR,{{first_name}} Confirm Your Bitcoin Offer,10/26/2022,7173,7,0.097493036,3,0.04180602
102622-???? (Blue Butterfly) Athena - CPA (U)-8am-2x-anc-{{first_name}} you received a shocking personal tarot rea,Major (Dave) GFR,"{{first_name}} you received a shocking personal tarot reading, View ASAP!",10/26/2022,41681,7,0.016791403,7,0.016791403
Clickwork7_CashApp ????????,SignatureSurveys FROG,Please confirm your CashApp offer,10/26/2022,7639,7,0.091551138,10,0.130736044
Sig Internal(PLAINCREATIVE)-NEW WorkFlow,Major Sweeps 3 FROG,[1] your account needs confirmation,10/26/2022,1602,7,0.435052828,5,0.311138768
"> ????-live-day0-???? (Zeeto) Fall Free Samples 2 - CPA (U)-Thank You {{first_name}}, here is your WELCOME PACKAGE of",GPTT (Dave) GFR,"Thank You {{first_name}}, here is your WELCOME PACKAGE offer, Confirm ASAP!",10/26/2022,1627,7,0.428396573,7,0.428396573
"102622-???? (Zeeto) Finderish [Cash] - CPA (U)-4am-ee-{{first_name}} you received Unclaimed Money info, View ASAP!",Major (Dave) GFR,"{{first_name}} you received Unclaimed Money info, View ASAP!",10/26/2022,37474,7,0.018676129,13,0.034678689
MORE THAN 1 DAY OPEN - Internal - GiftCardGrabber CashApp,Giftcardgrabber DRAGON,your records indicate you would be interested in this,10/26/2022,1283,7,0.542635659,6,0.465477114
(INT) Gift Card Grabber [GCGT1] EFLink,MSDZ1 WIFI,We sent you a cash app deposit offer alert...,10/26/2022,5268,7,0.132701422,10,0.189465707
Been Sent Any Email Today Workflow Email # 1 (AMDDS) - [BSD1],GPTTM1 FROG,{{first_name}} your door dash sweeps entry is pending activation,10/26/2022,5230,7,0.133664312,11,0.20988361
1026-22-WhatIf- USA Assistance Guide-(3NEW)(OPEN),SignatureSurveys FROG,(oct.26th): check for potential funds in your name,10/26/2022,13394,7,0.052234908,8,0.059692583
Non Clicker 4D,MajorSweeps SDR,{{first_name}} You have a message in your inbox ????,10/26/2022,3725,7,0.187566988,15,0.401069519
Click2Win -WhatIf (OPENER WORKFLOW - Email#1) ????,MajorSweeps FROG,verify your email (#90523NB),10/26/2022,3959,6,0.151324086,16,0.402515723
"102622-???? (ZinQ) Win money to cash app - [SR] - CPA (U)-1am-ee-We sent you a CASH APP DEPOSIT offer alert today,",GiftCardGrabber GFR,"We sent you a CASH APP DEPOSIT offer alert today, Confirm ASAP!",10/26/2022,4437,6,0.135043889,9,0.20242915
MORE THAN 1 DAY NON CLICK - GPTT Internal v12.5,Giftcardgrabber DRAGON,????  $5 instant activation bonus offer,10/26/2022,1282,6,0.465838509,3,0.233463035
Internal_SIG_Day0 Non-Openers ????,GPTT A DRL,{{first_name}} we sent you a message alert,10/26/2022,4596,6,0.130378096,5,0.108672028
1026_22_internal_mjs_7am ????? (scratch temp) 48 hour non opener,GPTTco SDR,???? {{first_name}} you have a message in your inbox,10/26/2022,13118,6,0.045717769,10,0.076173065
"102622-???? (Conceptual) Cash App - CPC (U)-1am-ee-???? You received a CASH APP DEPOSIT offer today, Confirm ASAP! ?",Sig (Dave) GFR,"???? You received a CASH APP DEPOSIT offer today, Confirm ASAP!",10/26/2022,22425,6,0.026748696,7,0.031205421
O no O in 6 D GPTT T2 ???? EVERFLOW,gcgSGRB WIFI,Please verify your email info inside,10/26/2022,2040,6,0.293255132,5,0.244498778
Internal_Sig_Day0 (Email #1) [MA-C2],giftcardgrabber FROG,{{first_name}} we sent you a message,10/26/2022,2661,6,0.224971879,9,0.337078652
"102622-???? (WhatIf) Class Action Guide - RS (U)-2am-ee-{{first_name}} we sent you Class Action Info, View ASAP! ?",Sweepsgen (Dave) GFR,"{{first_name}} we sent you Class Action Info, View ASAP!",10/26/2022,50650,6,0.011844599,3,0.00592265
102622-???? (Zeeto) Bath & Body Cherry - CPA (U)-3am-ee-Your PACKAGE offer was eDelivered on 10/26/2022 ?,Sweepsgen2 GFR,Your PACKAGE offer was eDelivered on 10/26/2022,10/26/2022,46343,6,0.012945263,8,0.017259606
day 0 72 hour follow up to non openers: coca-cola XWb-atox-72hrfp1 ???????? (2),GetPaidToTry TRG SDR,delivery attempt 3 days ago: {{first_name}} we're trying to reach you regarding your product testing,10/26/2022,2714,6,0.220588235,4,0.147167035
Day 0 Follow Up - (GCG) Cash App Reward Offer [GCG D0 auto follow up 2 hours] ???????? EFLink,MyShopDiscounts WIFI,Hey {{first_name}}! please confirm your Cash App sweeps offer,10/26/2022,12156,6,0.049333991,2,0.016450074
Scratch Card v10 - [scr-dz2],GPTTN2 DRAGON,"{{ ""now"" | usa_time_zone: ""ET"" | date: ""%m-%d-%Y"" }} we sent you a message",10/26/2022,3307,6,0.181104739,8,0.2413273
"102622-???? (Skenzo 2) Bank Account 0520 - RS (U)-5am-ee-We sent you Bank Account options, View ASAP! ?",Major (Dave) GFR,"We sent you Bank Account options, View ASAP!",10/26/2022,38529,6,0.015570261,8,0.02075927
"102622-???? (WhatIf) OMG Sweeps - CPC (U)-2am-ee-[ Alert ] {{first_name}} you received a $50,000 CASH sweeps offer",Sig (Dave) GFR,"[ Alert ] {{first_name}} you received a $50,000 CASH sweeps offer",10/26/2022,22710,6,0.026413101,6,0.026413101
102622-???? (ZinQ) Win money to cash app - [SR] - CPA (U)-8am-2x-anc-You received CASH APP DEPOSIT offer alert tod,GiftCardGrabber GFR,"You received CASH APP DEPOSIT offer alert today, Confirm ASAP!",10/26/2022,4996,5,0.099980004,5,0.099980004
GetPaidToTry-(Creative#SA)-Inactive Clicker WorkFlow ????????,SignatureSurveys FROG,please confirm your email,10/26/2022,1317,5,0.378214826,31,2.299703264
Zeeto_AmazonGiftCard_Day0 (Email #2),giftcardgrabber FROG,Message available: Your BONUS Amazon offer inside,10/26/2022,2641,5,0.188964475,4,0.151228733
1025 - GPTT Internal 2.8 (aggresive)- [1 day new] (jon) (2),SigN DRAGON,"{{ ""now"" | date: ""%m-%d"" }}, please confirm your email",10/26/2022,7357,5,0.067916327,6,0.081488524
1026-22-Zinq-iPhone13Pro-(4NEW)(OPEN),Major Sweeps 3 FROG,We're trying to contact you....check for product testing offer,10/26/2022,50526,5,0.009894916,14,0.027700831
Day 0 Giftcardgrabber [08/20] ???? [EVER] Mania [ATOX],Giftcardgrabber DRAGON,confirm your credit,10/26/2022,1283,5,0.388198758,7,0.542635659
1026_22_Conceptual-Paypal 2am ?????,SigCo SDR,Your PayPal offer is here...,10/26/2022,25636,5,0.01950002,11,0.042890007
Sig Internal(PLAINCREATIVE)-NEW WorkFlow (1) ?,GPTT FROG,{{first_ name}} confirm your account,10/26/2022,2881,5,0.173250173,6,0.207828195
Internal_SIG_Day0 (Email #1) ????,SignatureSurveys A DRL,we sent you a message alert,10/26/2022,641,5,0.773993808,6,0.927357032
GetPaidToTry-(Creative#SA)- Inactive Clicker WorkFlow (1),GPTT (GF Marketing) FROG,(1) confirm your email,10/26/2022,2123,5,0.234962406,10,0.468823254
Has Not Opened After 1 Day (Fluent) Cash App Offer (CAPT1) EFLink,MSDZ1 WIFI,confirm your pending Cash App offer {{first_name}},10/26/2022,347,5,1.420454545,11,3.072625698
102622-???? (INT) GetPaidtoTry (Travis)-7am-2x-anc-Information regarding your account,Sig (Dave) GFR,Information regarding your account,10/26/2022,24024,5,0.02080819,8,0.033288948
"102622-???? (Zeeto) Bath & Body Cherry - CPA (U)-4am-ee-Your PACKAGE offer was eDelivered on {{ ""now"" | date: ""%m/",Sweepsgen (Dave) GFR,"Your PACKAGE offer was eDelivered on {{ ""now"" | date: ""%m/%d/%y"" }}",10/26/2022,51676,5,0.009674735,11,0.021281947
DAY0 email 3 - (INT) SIG Internal ???? EFLink,MyShopDiscounts WIFI,Your offer is available. Access it now,10/26/2022,12166,5,0.041081259,4,0.032867707
102622-???? GiftCardGrabber-Cash App - CPC-7am-2x-anc-Your alert confirmation code is 751-932,Major (Dave) GFR,Your alert confirmation code is 751-932,10/26/2022,40616,5,0.012308904,14,0.034457298
GPTT Internal v3 [suppr] ????,GPTT C DRAGON,"{{first_name}}, confirm your $5.00 credit",10/26/2022,3117,5,0.160153748,7,0.224071703
> ????-live-day0-v2-GetPaidToTry - CPA-???? verify your email ASAP!,GiftCardGrabber GFR,???? verify your email ASAP!,10/26/2022,25401,5,0.01968039,5,0.01968039
102622-???? GiftCardGrabber-Cash App - CPC-7am-2x-anc-{{first_name}} we sent you a confirmation code no.,Sweepsgen2 GFR,{{first_name}} we sent you a confirmation code no.,10/26/2022,48254,5,0.010360762,5,0.010360762
CashApp - csh-do75 ????,GetPaidToTry TRG SDR,"alert - confirm your Cashapp offer for {{ ""now"" | date: ""%m-%d"" }}",10/26/2022,4974,4,0.080353556,6,0.120481928
Clickwork Cashapp,GPTTco SDR,"2nd attempt: {{ ""now"" | date: ""%m-%d"" }} confirm your Cashapp offer",10/26/2022,6304,4,0.063411541,15,0.237379332
Internal GPTT - Opener Level 5 ????,GiftCardGrabber SDR,{{first_name}} Activate your account,10/26/2022,1191,4,0.334728033,9,0.75
102622-???? GiftCardGrabber-Cash App - CPC-12am-ee-Cash App offer has arrived for {{first_name}} {{last_name}} ?,Sweepsgen2 GFR,Cash App offer has arrived for {{first_name}} {{last_name}},10/26/2022,49795,4,0.00803229,8,0.016063289
Cashapp offer - clicker,GetPaidToTry TRG SDR,Arrived - Your Cashapp offer is here,10/26/2022,1282,4,0.311041991,2,0.15576324
1026 -  GPTT v3 - [GPTTN2] [EE] (Jon) (rnal-1026-jax),GPTTN2 DRAGON,"hello {{first_name}}, confirm your $5.00 credit",10/26/2022,3752,4,0.106496273,5,0.133084908
????-live-day0-v2-GetPaidToTry - CPA-???? verify your email ASAP!,Sig (Dave) GFR,???? verify your email ASAP!,10/26/2022,6306,4,0.063391442,5,0.079226747
DAY 0 - Clickwork7_CashApp ????,Major Sweeps 2 FROG,please confirm your cashapp offer,10/26/2022,2722,4,0.146735143,10,0.366032211
Day 0 Follow Up: Zinq Samsung Product Test (atox-ssngsmra1) ????????,GPTTco SDR,Product Test a Samsung OLED TV. Confirm Your Application,10/26/2022,6057,4,0.06599571,2,0.033008747
1025-22-BriteBox-NowPlatinum-(3NEW)(CLICK),MajorM2 FROG,(10/25) We sent you a new credit line offer - No Credit Checks & No Credit Turndowns! GET APPROVED ?,10/26/2022,74,4,5.128205128,8,9.756097561
Day 0 (Amici) Grocery offer EFLink,GetPaidToTry UFC,Confirm your offer contact info....,10/26/2022,241,4,1.632653061,4,1.632653061
Day 1: Clickwork Cashapp (d1u-bxin) ????????,GPTTco SDR,{{date}} confirm your Cashapp offer,10/26/2022,6127,4,0.065242212,4,0.065242212
Day 2 (Zeeto) Craftsman - CPA (PY) EFLink,MSDZ1 WIFI,Come & Get Your DeWalt Tool Samples,10/26/2022,5633,4,0.07095973,6,0.106401844
Saad Official Day 0 (gpt-d0-stp) ????,GetPaidToTry TRG SDR,{{date}} you have a message in your inbox,10/26/2022,4851,4,0.082389289,6,0.123533045
4AM- 1026 - Zeeto - Dewalt DS GIF Lande v4 - [Opened x DAY 1 ] ? [non generic],GPTT C DRAGON,please confirm your receipt for offer #NDK-03LWP {{date}},10/26/2022,5590,4,0.071505184,11,0.196393501
Email Exists Internal Scratch v2 [DATE]  [Have Clicked Any Email ONLY ONE TIME AND HAVE BEEN SENT ANY EMAIL ONE,GPTTN2 DRAGON,{{date}} you have received your account activation,10/26/2022,375,4,1.055408971,1,0.265957447
BSET - WF E #1 [IN SIGM T7],GCGZ1 PNT,????$5 BONUS???? Create your account and start earning!,10/26/2022,3209,4,0.124494242,4,0.124494242
"102622-???? (Skenzo) Checking Account 0519 - RS (U)-3am-ee-{{first_name}} we sent you Checking Account options, Vi",Sig (Dave) GFR,"{{first_name}} we sent you Checking Account options, View ASAP!",10/26/2022,23025,4,0.017369404,5,0.021710812
102622-???? (WhatIf) USA Assistance Guide - RS (U) Regular-5am-ee-{{first_name}} we sent you FINANCIAL ASSISTANCE ,GiftCardGrabber GFR,"{{first_name}} we sent you FINANCIAL ASSISTANCE info, View ASAP!",10/26/2022,4488,3,0.066800267,3,0.066800267
"102622-???? (Conceptual) Cash App - CPC (U)-8am-2x-anc-We sent you a CASH APP DEPOSIT offer today, Confirm ASAP!",Sig (Dave) GFR,"We sent you a CASH APP DEPOSIT offer today, Confirm ASAP!",10/26/2022,24269,3,0.012359921,3,0.012359921
Internal_GPTT_ANC ????,GPTT A DRL,Please activate your account,10/26/2022,4650,3,0.064474533,3,0.064474533
GPTT internal v21,Major 2019 DRAGON,???? {{first_name}} we sent you a message notification,10/26/2022,3491,3,0.085861477,3,0.085861477
102622-???? (Spark) Assist America - CPA (U)-6am-ee-We've tried to contact you...check for your options to receive,GiftCardGrabber GFR,We've tried to contact you...check for your options to receive funding assistance.,10/26/2022,4620,3,0.064892927,5,0.108108108
Day 3 (Zinq) Win shell voucher - [YR] - CPA (PY) EFLink,MSDZ1 WIFI,Want a $100 Shell Gas Voucher? Get your chance to win!,10/26/2022,2563,3,0.116913484,2,0.07797271
Scratch Card v3 ???? [atox],Signature 2019 DRAGON,{{first_name}} {{last_name}} Has Received a $25.00 Scratch Card,10/26/2022,5302,3,0.056550424,2,0.037707391
open 10times and no click - fluent Venmo,SigCo SDR,???? {{date}} your Venmo offer is pending,10/26/2022,5251,3,0.057099353,5,0.095129376
Opener Workflow -Clickwork7_CashApp ????,GIFTCARDGRABBER MIKD FROG,please confirm your cashapp offer,10/26/2022,3059,3,0.09797518,20,0.649561546
102622 - (Amici) Door Dash EE 2:00 am ????????,Samplegrabber special WIFI,{{first_name}} we tried to contact you regarding your Door Dash gift card voucher entry ?,10/26/2022,4524,3,0.066269052,5,0.110399647
Conceptional-PayPal -OPENER WORKFLOW - Email#2 ????????,SignatureSurveys FROG,we're trying to contact you. did you forget about your offer?,10/26/2022,588,3,0.507614213,8,1.342281879
"102622-???? (Shift44) Grants Assistance - CPA (U)-5am-ee-We sent you Financial Grants Assistance info, View ASAP! ",Sweepsgen2 GFR,"We sent you Financial Grants Assistance info, View ASAP!",10/26/2022,47363,3,0.006333657,3,0.006333657
